ID,Player ID,Player,Span,Mat,Inns,Overs,Mdns,Runs,WktsDescending,BBI,Avg,Econ,SR,4 Wkts,5Wkts
19,12086,Abhishek Sharma,2024-2024,12,7,16,0,134,3,1|10,44.66,8.37,32,0,0
21,13217,Arshdeep Singh,2022-2024,60,60,206.4,2,1720,95,4|9,18.1,8.32,13,2,0
22,9781,Avesh Khan,2022-2024,25,24,83.1,1,752,27,4|18,27.85,9.04,18.4,1,0
20,8808,Axar Patel,2021-2024,55,53,162.1,2,1207,56,3|9,21.55,7.44,17.3,0,0
23,7836,Deepak Chahar,2021-2023,12,12,42.1,1,385,13,2|15,29.61,9.13,19.4,0,0
24,14691,Dhruv Jurel,2024-2024,2,,,,,,,,,,,
7,9647,Hardik Pandya,2021-2024,66,58,173,3,1394,51,4|16,27.33,8.05,20.3,2,0
25,10276,Ishan Kishan,2021-2023,32,,,,,,,,,,,
14,9311,Jasprit Bumrah,2021-2024,20,20,72.2,5,384,30,3|7,12.8,5.3,14.4,0,0
27,10952,Khaleel Ahmed,2024-2024,4,4,14,0,103,3,2|32,34.33,7.35,28,0,0
10,8733,KL Rahul,2021-2022,27,,,,,,,,,,,
15,8292,Kuldeep Yadav,2021-2024,19,19,67.5,1,434,30,5|17,14.46,6.39,13.5,0,1
13,7909,Mohammed Shami,2021-2022,11,11,35.5,1,283,12,3|15,23.58,7.89,17.9,0,0
18,10808,Mohammed Siraj,2021-2024,13,13,46,2,304,11,4|17,27.63,6.6,25,1,0
28,10754,Mukesh Kumar,2023-2024,17,17,54,0,487,20,4|22,24.35,9.01,16.2,1,0
29,14659,Ravi Bishnoi,2022-2024,37,37,143.4,3,1050,56,4|13,18.75,7.3,15.3,2,0
8,587,Ravindra Jadeja,2021-2024,24,22,63.5,0,460,15,3|15,30.66,7.2,25.5,0,0
30,10896,Rinku Singh,2023-2024,30,1,1,0,3,2,2|3,1.5,3,3,0,0
12,10744,Rishabh Pant,2021-2024,48,,,,,,,,,,,
31,12305,Riyan Parag,2024-2024,9,5,12.2,0,83,4,3|5,20.75,6.72,18.5,0,0
2,576,Rohit Sharma,2021-2024,51,,,,,,,,,,,
6,11813,Ruturaj Gaikwad,2021-2024,23,,,,,,,,,,,
9,8683,Shardul Thakur,2021-2022,8,8,25.5,0,249,10,3|42,24.9,9.63,15.5,0,0
33,11195,Shivam Dubey,2023-2024,20,12,24,0,218,6,2|25,36.33,9.08,24,0,0
4,9428,Shreyas Iyer,2021-2023,27,1,0.2,0,2,0,,,6,,0,0
32,7915,Suryakumar Yadav,2021-2024,78,1,1,0,5,2,2|5,2.5,5,3,0,0
34,14504,Tilak Varma,2023-2024,20,3,5,0,26,2,1|5,13,5.2,15,0,0
1,1413,Virat Kohli,2021-2024,40,1,1,0,6,0,,,6,,0,0
35,10945,Washington Sundar,2021-2024,26,25,72.3,0,492,26,3|15,18.92,6.78,16.7,0,0
36,13940,Yashasvi Jaiswal,2023-2024,23,1,1,0,11,0,,,11,,0,0
16,7910,Yuzvendra Chahal,2021-2023,35,34,118.3,1,953,37,3|20,25.75,8.04,19.2,0,0
