ID,Player ID,Player name,Home Vs Away,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
19,12086,Abhishek Sharma,away,5,5,13,0,116,2,1|20,58,8.92,39,0,0
21,13217,Arshdeep  Singh,home,13,13,45.4,1,456,20,3|20,22.8,9.98,13.7,0,0
21,13217,Arshdeep  Singh,away,16,16,55.3,1,430,24,4|9,17.91,7.74,13.8,2,0
22,9781,Avesh  Khan,home,11,10,39,1,334,9,4|18,37.11,8.56,26,1,0
22,9781,Avesh  Khan,away,7,7,22.2,0,226,9,3|15,25.11,10.11,14.8,0,0
20,8808,Axar Patel,home,29,28,97.5,0,700,33,3|9,21.21,7.15,17.7,0,0
20,8808,Axar Patel,away,16,15,47,0,330,12,3|17,27.5,7.02,23.5,0,0
23,7836,Deepak Chahar,home,18,18,64,1,537,24,6|7,22.37,8.39,16,0,1
23,7836,Deepak Chahar,away,6,6,22,1,182,7,3|4,26,8.27,18.8,0,0
7,9647,Hardik Pandya,home,40,37,98.2,0,784,25,4|16,31.36,7.97,23.6,1,0
7,9647,Hardik Pandya,away,35,30,100,1,844,34,4|33,24.82,8.44,17.6,2,0
14,9311,Jasprit Bumrah,home,29,28,95.4,2,647,28,3|14,23.1,6.76,20.5,0,0
14,9311,Jasprit Bumrah,away,24,24,92.3,5,607,31,3|11,19.58,6.56,17.9,0,0
16,7910,Yuzvendra Chahal,home,39,38,136,1,1115,49,6|25,22.75,8.19,16.6,2,1
16,7910,Yuzvendra Chahal,away,32,32,122,1,1022,37,3|21,27.62,8.37,19.7,0,0
27,10952,Khaleel Ahmed,home,6,6,24,1,191,5,2|30,38.2,7.95,28.8,0,0
27,10952,Khaleel Ahmed,away,10,10,37,0,341,10,2|27,34.1,9.21,22.2,0,0
15,8292,Kuldeep Yadav,home,16,15,53,0,398,21,3|13,18.95,7.5,15.1,0,0
15,8292,Kuldeep Yadav,away,16,16,58.2,1,378,33,5|17,11.45,6.48,10.6,1,2
18,10808,Mohammed Siraj,home,5,5,20,0,203,4,1|22,50.75,10.15,30,0,0
18,10808,Mohammed Siraj,away,8,8,27,2,167,8,4|17,20.87,6.18,20.2,1,0
28,10754,Mukesh Kumar,home,7,7,26,0,244,6,3|32,40.66,9.38,26,0,0
28,10754,Mukesh Kumar,away,8,8,24,0,208,13,4|22,16,8.66,11,1,0
29,14659,Ravi  Bishnoi,home,12,12,47,0,384,15,3|32,25.6,8.17,18.8,0,0
29,14659,Ravi  Bishnoi,away,14,14,55,2,395,21,4|13,18.8,7.18,15.7,1,0
8,587,Ravindra Jadeja,home,20,19,67.4,2,458,14,2|22,32.71,6.76,29,0,0
8,587,Ravindra Jadeja,away,25,23,78.2,0,613,19,2|18,32.26,7.82,24.7,0,0
30,10896,Rinku Singh,home,8,,,,,,,,,,,
30,10896,Rinku Singh,away,12,1,1,0,3,2,2|3,1.5,3,3,0,0
31,12305,Riyan Parag,away,6,4,10.2,0,67,3,3|5,22.33,6.48,20.6,0,0
2,576,Rohit Sharma,home,58,1,3,0,22,1,1|22,22,7.33,18,0,0
2,576,Rohit Sharma,away,49,4,3.2,0,41,0,,,12.3,,0,0
33,11195,Shivam Dubey,home,11,9,19.3,0,184,5,3|30,36.8,9.43,23.4,0,0
33,11195,Shivam Dubey,away,12,11,21,0,200,5,2|25,40,9.52,25.2,0,0
32,7915,Suryakumar Yadav,home,26,,,,,,,,,,,
32,7915,Suryakumar Yadav,away,20,1,1,0,5,2,2|5,2.5,5,3,0,0
34,14504,Tilak Verma,home,4,,,,,,,,,,,
34,14504,Tilak Verma,away,7,1,1,0,4,0,,,4,,0,0
1,1413,Virat Kohli,home,46,6,12.2,0,110,2,1|13,55,8.91,37,0,0
1,1413,Virat Kohli,away,39,4,8,0,57,1,1|22,57,7.12,48,0,0
35,10945,Washington Sundar,home,24,22,74.3,0,561,18,3|18,31.16,7.53,24.8,0,0
35,10945,Washington Sundar,away,17,17,57,0,379,18,3|15,21.05,6.64,19,0,0
