Fielder ID,Player Name,Opponent,Innings,Catches,Run Outs,Direct Hit Run Outs,Stumpings,Total Dismissals
7915,Suryakumar Yadav,England,1,0,1,0,0,1
576,Rohit Sharma,England,1,2,0,0,0,2
10744,Rishabh Pant,England,1,1,0,0,1,2
9647,Hardik Pandya,England,1,1,0,0,0,1
1413,Virat Kohli,England,1,1,0,0,0,1
14659,Ravi Bishnoi,England,1,1,0,0,0,1
7915,Suryakumar Yadav,West Indies,1,1,0,0,0,1
1413,Virat Kohli,West Indies,1,1,0,0,0,1
576,Rohit Sharma,West Indies,1,2,0,0,0,2
14659,Ravi Bishnoi,West Indies,1,1,0,0,0,1
10276,Ishan Kishan,West Indies,1,0,0,0,1,1
9428,Shreyas Iyer,West Indies,1,1,0,0,0,1
576,Rohit Sharma,Sri Lanka,1,1,0,0,0,1
8271,Sanju Samson,Sri Lanka,1,2,0,0,0,2
10276,Ishan Kishan,Sri Lanka,1,1,0,0,0,1
9428,Shreyas Iyer,Sri Lanka,1,1,0,0,0,1
10744,Rishabh Pant,South Africa,1,2,0,0,0,2
10276,Ishan Kishan,South Africa,1,1,0,0,0,1
9781,Avesh Khan,South Africa,1,2,0,0,0,2
14659,Ravi Bishnoi,South Africa,1,1,0,0,0,1
7910,Yuzvendra Chahal,South Africa,1,2,0,0,0,2
11813,Ruturaj Gaikwad,South Africa,1,3,0,0,0,3
8808,Axar Patel,South Africa,1,1,0,0,0,1
9428,Shreyas Iyer,South Africa,1,1,0,0,0,1
7915,Suryakumar Yadav,Pakistan,1,1,0,0,0,1
9647,Hardik Pandya,Netherlands,1,1,0,0,0,1
8808,Axar Patel,Netherlands,1,1,0,0,0,1
1413,Virat Kohli,Netherlands,1,1,0,0,0,1
8733,KL Rahul,South Africa,1,1,0,0,0,1
7915,Suryakumar Yadav,South Africa,1,2,0,0,0,2
8733,KL Rahul,Bangladesh,1,0,1,0,0,1
7915,Suryakumar Yadav,Bangladesh,1,1,0,0,0,1
13217,Arshdeep Singh,Bangladesh,1,1,0,0,0,1
1413,Virat Kohli,Zimbabwe,1,1,0,0,0,1
576,Rohit Sharma,Zimbabwe,1,1,0,0,0,1
7915,Suryakumar Yadav,Zimbabwe,1,1,0,0,0,1
8808,Axar Patel,Ireland,1,1,0,0,0,1
9647,Hardik Pandya,Ireland,1,0,1,0,0,1
14659,Ravi Bishnoi,Ireland,1,1,0,0,0,1
7910,Yuzvendra Chahal,Ireland,1,1,0,0,0,1
10744,Rishabh Pant,West Indies,1,2,0,0,0,2
8271,Sanju Samson,West Indies,1,2,0,0,0,2
9647,Hardik Pandya,West Indies,1,1,0,0,0,1
13217,Arshdeep Singh,New Zealand,1,1,0,0,0,1
9428,Shreyas Iyer,New Zealand,1,1,0,0,0,1
10276,Ishan Kishan,New Zealand,1,2,0,0,0,2
10744,Rishabh Pant,New Zealand,1,2,0,0,0,2
7910,Yuzvendra Chahal,New Zealand,1,1,0,0,0,1
10808,Mohammed Siraj,New Zealand,1,0,1,0,0,1
13217,Arshdeep Singh,Pakistan,1,1,0,0,0,1
9781,Avesh Khan,Pakistan,1,1,0,0,0,1
587,Ravindra Jadeja,Pakistan,1,1,0,0,0,1
9781,Avesh Khan,Hong Kong,1,2,0,0,0,2
587,Ravindra Jadeja,Hong Kong,1,0,1,0,0,1
14659,Ravi Bishnoi,Hong Kong,1,1,0,0,0,1
576,Rohit Sharma,Pakistan,1,1,0,0,0,1
1413,Virat Kohli,Pakistan,1,1,0,0,0,1
7915,Suryakumar Yadav,Sri Lanka,1,1,0,0,0,1
8733,KL Rahul,Sri Lanka,1,1,0,0,0,1
1413,Virat Kohli,Afghanistan,1,1,1,0,0,2
8808,Axar Patel,Afghanistan,1,1,0,0,0,1
1413,Virat Kohli,Australia,1,1,0,0,0,1
9647,Hardik Pandya,Australia,1,1,0,0,0,1
8733,KL Rahul,Australia,1,1,0,0,0,1
8808,Axar Patel,Australia,1,1,0,0,0,1
576,Rohit Sharma,Australia,1,1,0,0,0,1
13217,Arshdeep Singh,South Africa,1,1,0,0,0,1
1413,Virat Kohli,South Africa,1,1,0,0,0,1
576,Rohit Sharma,South Africa,1,1,0,0,0,1
9647,Hardik Pandya,Sri Lanka,1,2,0,0,0,2
7910,Yuzvendra Chahal,Sri Lanka,1,1,0,0,0,1
11808,Shubman Gill,Sri Lanka,1,1,0,0,0,1
13217,Arshdeep Singh,Sri Lanka,1,1,0,0,0,1
8808,Axar Patel,Sri Lanka,1,1,0,0,0,1
7915,Suryakumar Yadav,New Zealand,1,3,0,0,0,3
9647,Hardik Pandya,New Zealand,1,1,0,0,0,1
10945,Washington Sundar,New Zealand,1,1,0,0,0,1
14504,Tilak Verma,West Indies,1,1,0,0,0,1
8808,Axar Patel,West Indies,1,1,0,0,0,1
10754,Mukesh Kumar,West Indies,1,1,0,0,0,1
13217,Arshdeep Singh,West Indies,1,1,0,0,0,1
8292,Kuldeep Yadav,West Indies,1,1,0,0,0,1
11808,Shubman Gill,West Indies,1,1,0,0,0,1
13940,Yashasvi Jaiswal,West Indies,1,1,0,0,0,1
8271,Sanju Samson,Ireland,1,1,0,0,0,1
14504,Tilak Verma,Ireland,1,1,0,0,0,1
11813,Ruturaj Gaikwad,Ireland,1,1,0,0,0,1
13217,Arshdeep Singh,Ireland,1,1,0,0,0,1
11195,Shivam Dubey,Ireland,1,1,0,0,0,1
10808,Mohammed Siraj,South Africa,1,0,1,0,0,1
13940,Yashasvi Jaiswal,South Africa,1,1,0,0,0,1
10896,Rinku Singh,South Africa,1,1,0,0,0,1
13940,Yashasvi Jaiswal,Australia,1,2,0,0,0,2
14504,Tilak Verma,Australia,1,1,0,0,0,1
11813,Ruturaj Gaikwad,Australia,1,1,0,0,0,1
10276,Ishan Kishan,Australia,1,1,0,0,0,1
14659,Ravi Bishnoi,Australia,1,1,0,0,0,1
7915,Suryakumar Yadav,Australia,1,1,0,0,0,1
10754,Mukesh Kumar,Australia,1,1,0,0,0,1
9428,Shreyas Iyer,Australia,1,2,0,0,0,2
9781,Avesh Khan,Australia,1,1,0,0,0,1
10896,Rinku Singh,Australia,1,1,0,0,0,1
10214,Jitesh Sharma,Afghanistan,1,0,0,0,1,1
576,Rohit Sharma,Afghanistan,1,2,0,0,0,2
10896,Rinku Singh,Afghanistan,1,2,0,0,0,2
11195,Shivam Dubey,Afghanistan,1,1,0,0,0,1
10945,Washington Sundar,Afghanistan,1,1,0,0,0,1
8271,Sanju Samson,Afghanistan,1,0,1,0,1,2
14659,Ravi Bishnoi,Afghanistan,1,1,0,0,0,1
9781,Avesh Khan,Afghanistan,1,1,0,0,0,1
10214,Jitesh Sharma,Nepal,1,1,0,0,0,1
9781,Avesh Khan,Nepal,1,1,0,0,0,1
10896,Rinku Singh,Nepal,1,1,0,0,0,1
13940,Yashasvi Jaiswal,Nepal,1,2,0,0,0,2
13940,Yashasvi Jaiswal,Bangladesh,1,2,0,0,0,2
10896,Rinku Singh,Bangladesh,1,2,0,0,0,2
11813,Ruturaj Gaikwad,Bangladesh,1,1,0,0,0,1
14504,Tilak Verma,Bangladesh,1,2,0,0,0,2
11195,Shivam Dubey,Bangladesh,1,1,0,0,0,1
10214,Jitesh Sharma,Bangladesh,1,1,0,0,0,1
10744,Rishabh Pant,Ireland,1,2,0,0,0,2
1413,Virat Kohli,Ireland,1,1,0,0,0,1
9311,Jasprit Bumrah,Ireland,1,1,0,0,0,1
10744,Rishabh Pant,Pakistan,1,3,0,0,0,3
9647,Hardik Pandya,United States of America,1,1,0,0,0,1
10808,Mohammed Siraj,United States of America,1,2,0,0,0,2
10744,Rishabh Pant,United States of America,1,2,0,0,0,2
10744,Rishabh Pant,Afghanistan,1,3,0,0,0,3
587,Ravindra Jadeja,Afghanistan,1,3,0,0,0,3
13217,Arshdeep Singh,Afghanistan,1,1,0,0,0,1
576,Rohit Sharma,Bangladesh,1,2,0,0,0,2
1413,Virat Kohli,Bangladesh,1,1,0,0,0,1
8808,Axar Patel,Bangladesh,1,1,0,0,0,1
8292,Kuldeep Yadav,Australia,1,1,0,0,0,1
9311,Jasprit Bumrah,Australia,1,1,0,0,0,1
8292,Kuldeep Yadav,South Africa,1,1,0,0,0,1
14659,Ravi Bishnoi,Zimbabwe,1,0,1,0,0,1
14691,Dhruv Jurel,Zimbabwe,1,1,1,0,0,2
10896,Rinku Singh,Zimbabwe,1,3,0,0,0,3
10945,Washington Sundar,Zimbabwe,1,1,0,0,0,1
11813,Ruturaj Gaikwad,Zimbabwe,1,1,0,0,0,1
12086,Abhishek Sharma,Zimbabwe,1,1,0,0,0,1
11195,Shivam Dubey,Zimbabwe,1,1,1,0,0,2
12305,Riyan Parag,Zimbabwe,1,1,0,0,0,1
13940,Yashasvi Jaiswal,Zimbabwe,1,1,0,0,0,1
11808,Shubman Gill,Zimbabwe,1,1,0,0,0,1
8271,Sanju Samson,Zimbabwe,1,2,0,0,0,2
13940,Yashasvi Jaiswal,Sri Lanka,1,2,0,0,0,2
14659,Ravi Bishnoi,Sri Lanka,1,2,0,0,0,2
12305,Riyan Parag,Sri Lanka,1,1,0,0,0,1
10896,Rinku Singh,Sri Lanka,1,2,0,0,0,2
10744,Rishabh Pant,Sri Lanka,1,0,0,0,1,1
