Player ID,Player name,Runs vs Pacer,Runs vs Spinner,Balls vs Pacer,Balls vs Spinner,Strike Rate vs Pacer,Strike Rate vs Spinner
13217,Arshdeep  Singh,7,0,11,0,63.63636364,0
9781,Avesh  Khan,9,0,5,0,180,0
8808,Axar Patel,96,0,73,0,131.5068493,0
7836,Deepak Chahar,8,0,6,0,133.3333333,0
9647,Hardik Pandya,315,10,214,14,147.1962617,71.42857143
10276,Ishan  Kishan,131,8,138,9,94.92753623,88.88888889
8733,KL Rahul,97,21,86,18,112.7906977,116.6666667
8292,Kuldeep Yadav,2,0,8,0,25,0
7909,Mohammed Shami,0,0,1,0,0,0
10808,Mohammed Siraj,4,0,4,0,100,0
10754,Mukesh Kumar,4,0,1,0,400,0
14659,Ravi  Bishnoi,7,0,8,0,87.5,0
587,Ravindra Jadeja,64,0,46,0,139.1304348,0
10896,Rinku Singh,70,0,29,0,241.3793103,0
10744,Rishabh Pant,152,20,119,11,127.7310924,181.8181818
576,Rohit Sharma,252,78,168,48,150,162.5
11813,Ruturaj Gaikwad,126,23,91,15,138.4615385,153.3333333
8271,Sanju Samson,28,0,25,0,112,0
11195,Shivam Dubey,40,22,38,15,105.2631579,146.6666667
9428,Shreyas Iyer,69,9,73,5,94.52054795,180
11808,Shubman Gill,42,0,29,0,144.8275862,0
7915,Suryakumar Yadav,571,108,308,65,185.3896104,166.1538462
14504,Tilak Verma,91,0,58,0,156.8965517,0
1413,Virat Kohli,178,50,139,37,128.057554,135.1351351
10945,Washington Sundar,13,0,13,0,100,0
13940,Yashasvi Jaiswal,85,21,51,12,166.6666667,175
