Match Number,Player ID,Wicketkeeper,Catches,Stumpings,Total Dismissals
1479,10276,Ishan Kishan,3,0,3
1492,10276,Ishan Kishan,1,1,2
1554,10276,Ishan Kishan,1,0,1
1572,10276,Ishan Kishan,1,0,1
1853,8733,KL Rahul,1,0,1
1898,10276,Ishan Kishan,1,0,1
1911,10276,Ishan Kishan,1,0,1
1759,8733,KL Rahul,1,0,1
1796,8733,KL Rahul,1,0,1
1984,10276,Ishan Kishan,1,0,1
1991,10276,Ishan Kishan,1,0,1
1992,10276,Ishan Kishan,2,0,2
2191,10276,Ishan Kishan,0,1,1
2372,10276,Ishan Kishan,1,0,1
2737,14691,Dhruv Jurel,0,1,1
2739,14691,Dhruv Jurel,1,0,1
