ID,Player ID,Player,Span,Mat,Inns,Dismissals,Catches Taken,Stumpings Made,Catches as a Wk,Catches as a Fielder,Max Dismissals,Max Dismissals CT,Max Dismissals ST,Dismissals per Innings
19,12086,Abhishek Sharma,2024-2024,12,12,3,3,0,0,3,1,1,0,0.25
21,13217,Arshdeep Singh,2022-2024,60,60,15,15,0,0,15,3,3,0,0.25
22,9781,Avesh Khan,2022-2024,25,24,11,11,0,0,11,2,2,0,0.458
20,8808,Axar Patel,2021-2024,55,54,19,19,0,0,19,1,1,0,0.351
23,7836,Deepak Chahar,2021-2023,12,12,2,2,0,0,2,1,1,0,0.166
24,14691,Dhruv Jurel,2024-2024,2,2,2,1,1,1,0,1,1,0,1
7,9647,Hardik Pandya,2021-2024,66,65,27,27,0,0,27,3,3,0,0.415
25,10276,Ishan  Kishan,2021-2023,32,31,16,13,3,9,4,3,3,0,0.516
14,9311,Jasprit Bumrah,2021-2024,20,20,2,2,0,0,2,1,1,0,0.1
26,10214,Jitesh Sharma,2023-2024,9,9,4,3,1,3,0,1,1,0,0.444
27,10952,Khaleel Ahmed,2024-2024,4,4,1,1,0,0,1,1,1,0,0.25
10,8733,KL Rahul,2021-2022,27,27,6,6,0,0,6,1,1,0,0.222
15,8292,Kuldeep Yadav,2021-2024,19,19,4,4,0,0,4,1,1,0,0.21
13,7909,Mohammed Shami,2021-2022,11,11,1,1,0,0,1,1,1,0,0.09
18,10808,Mohammed Siraj,2021-2024,13,13,5,5,0,0,5,2,2,0,0.384
28,10754,Mukesh Kumar,2023-2024,17,17,2,2,0,0,2,1,1,0,0.117
31,12305,Riyan Parag,2024-2024,9,9,6,6,0,0,6,3,3,0,0.666
8,587,Ravindra Jadeja,2021-2024,24,24,7,7,0,0,7,3,3,0,0.291
29,14659,Ravi  Bishnoi,2022-2024,37,37,15,15,0,0,15,2,2,0,0.405
6,11813,Ruturaj Gaikwad,2021-2024,23,22,11,11,0,0,11,3,3,0,0.5
2,576,Rohit Sharma,2021-2024,51,51,25,25,0,0,25,3,3,0,0.49
30,10896,Rinku Singh,2023-2024,30,30,20,20,0,0,20,3,3,0,0.666
12,10744,Rishabh Pant,2021-2024,48,47,40,33,7,33,0,3,3,0,0.851
33,11195,Shivam Dubey,2023-2024,20,20,6,6,0,0,6,1,1,0,0.3
32,7915,Suryakumar Yadav,2021-2024,78,78,46,46,0,0,46,3,3,0,0.589
3,11808,Shubman Gill,2023-2024,21,21,5,5,0,0,5,1,1,0,0.238
9,8683,Shardul Thakur,2021-2022,8,8,3,3,0,0,3,1,1,0,0.375
4,9428,Shreyas Iyer,2021-2023,27,26,8,8,0,0,8,2,2,0,0.307
11,8271,Sanju Samson,2021-2024,30,30,24,20,4,13,7,2,2,0,0.8
34,14504,Tilak Verma,2023-2024,20,20,14,14,0,0,14,2,2,0,0.7
1,1413,Virat Kohli,2021-2024,40,40,12,12,0,0,12,1,1,0,0.3
35,10945,Washington Sundar,2021-2024,26,26,10,10,0,0,10,2,2,0,0.384
36,13940,Yashasvi Jaiswal,2023-2024,23,23,15,15,0,0,15,2,2,0,0.652
16,7910,Yuzvendra Chahal,2021-2023,35,34,5,5,0,0,5,2,2,0,0.147
